participant_id,assignment,total_videos,total_adjusted_videos,playlist_videos,all_ai_videos,ai_adjusted_videos,share_ai_adjusted_videos,total_watch_time,total_adjusted_watch_time,playlist_watch_time,all_ai_watch_time,ai_adjusted_watch_time,share_ai_adjusted_watch_time
bc63bc6bd0a0f9d1f800b03bb907c991203f4e604d1622776a4f0a69ec234e7a,Treatment,103,103,0,0,0,0.0,25077.225000000002,25077.225000000002,0.0,0.0,0.0,0.0
073b19d8400e1f554df7c1fea9fdc0049634fcbf0d590456edd1d7735ad23fed,Treatment,490,490,0,11,11,0.022448979591836733,118910.336,118910.336,0.0,212.87900000000002,212.87900000000002,0.0017902480739773541
e4c561526fc919adec6a695bd724860ed939533d4c4ec5858475952bc026867a,Control,261,261,0,3,3,0.011494252873563218,549060.445,549060.445,0.0,914.47,914.47,0.00166551790122124
2089f1d7beae3ae368e3b4b96f8f3ee16e919f38c026ff2c8b539fe506890362,Treatment,2795,2795,0,25,25,0.008944543828264758,317582.90599999996,317582.90599999996,0.0,3811.7580000000003,3811.7580000000003,0.012002402925301026
bfd1d7740f2d068003cf9c77f63f09b78134af3e56c147c8f4a1000015dcf4ee,Control,418,418,0,18,18,0.0430622009569378,181936.71899999998,181936.71899999998,0.0,1724.4250000000002,1724.4250000000002,0.009478158172127972
1ebd73cfa06073fe480b00c8d52d11560140a890cee30da2394235c9474dbc7b,Control,119,119,0,1,1,0.008403361344537815,236739.20899999997,236739.20899999997,0.0,66.0,66.0,0.0002787877862682223
321dbebccf11f3f6bcd869e9254b24355ad2ffad91b1e526514ec01f22262125,Treatment,5677,5677,0,17,17,0.0029945393693852386,221728.98100000003,221728.98100000003,0.0,1771.3990000000001,1771.3990000000001,0.0079890278303313
51143658a3dc1cc103e904ee76c8c7da1be077be2faf034221777e4f0d346877,Treatment,229,229,0,2,2,0.008733624454148471,155282.644,155282.644,0.0,3263.0,3263.0,0.021013294956518127
687799edcedef8e38509e23062589afa1970a123dd88941377c6b71ef16200a7,Control,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,
2eab7738cefe2882eea3baac3dd6ed24f92c9078a9d475ea42c4174996c37c7b,Control,52,52,0,0,0,0.0,97714.821,97714.821,0.0,0.0,0.0,0.0
